STN,YEARMODA,TEMP,DEWP,SLP,STP,VISIB,WDSP,MXSPD,MAX,MIN,PRCP,FOG,RAIN,SNOW,HAIL,THUNDER,TORNADO,FACT1,FACT2
"967450","20130101","81.00","75.10","1008.90","1008.40","4.20","6.00","9.90","89.20","75.90","0.08","0","1","0","0","1","1","0","0"
"967450","20130102","82.70","75.40","1010.10","1009.70","4.90","3.50","8.00","88.50","76.60","0.00","0","0","0","0","0","0","0","0"
"967450","20130103","83.60","75.80","1008.70","1008.20","4.20","4.40","9.90","90.70","77.90","0.04","0","1","0","0","0","0","0","0"
"967450","20130104","78.60","73.40","1008.10","1007.70","4.00","6.80","9.90","86.40","75.60","0.26","0","1","0","0","1","1","0","0"
"967450","20130105","80.50","74.90","1007.60","1007.20","4.00","5.70","11.10","87.40","75.20","0.20","0","1","0","0","0","0","0","0"
"967450","20130106","80.30","73.90","1009.10","1008.60","4.20","8.40","12.00","85.60","73.00","0.20","0","1","0","0","0","0","0","0"
"967450","20130107","81.90","74.60","1008.40","1007.90","4.00","5.20","7.00","89.20","73.40","0.00","0","1","0","0","0","0","0","1"
"967450","20130108","79.10","74.40","1008.80","1008.40","4.10","8.40","15.00","84.20","75.90","0.08","0","1","0","0","0","0","0","2"
"967450","20130109","76.30","73.60","1009.20","1008.70","4.10","8.20","13.00","80.60","75.20","1.15","0","1","0","0","0","0","1","3"
"967450","20130110","79.30","73.30","1008.80","1008.40","3.60","12.40","19.00","90.70","72.70","0.75","0","1","0","0","1","1","1","3"
"967450","20130112","80.50","74.40","1010.00","1009.50","4.60","4.40","13.00","88.90","76.30","1.97","0","1","0","0","0","0","0","0"
"967450","20130113","80.30","75.40","1009.30","1008.80","3.70","3.90","8.00","87.10","73.40","0.12","0","1","0","0","1","1","0","0"
"967450","20130114","80.40","75.80","1010.20","1009.80","4.00","2.00","11.10","86.40","75.60","0.91","0","1","0","0","1","1","0","1"
"967450","20130115","78.40","75.20","1011.00","1010.60","3.80","2.80","8.00","86.00","73.80","2.80","0","1","0","0","0","0","0","2"
"967450","20130118","79.20","75.90","1011.10","1010.70","4.10","0.40","2.90","83.10","73.90","0.04","0","1","0","0","0","0","1","3"
"967450","20130119","81.20","75.00","1010.90","1010.40","4.60","3.80","8.90","90.00","75.60","0.47","0","0","0","0","1","1","1","3"
"967450","20130120","82.20","75.50","1011.50","1010.90","4.30","0.70","5.10","86.70","75.20","0.12","0","0","0","0","0","0","1","3"
"967450","20130121","83.90","75.30","1011.70","1011.20","4.20","3.40","6.00","89.60","80.60","0.00","0","0","0","0","0","0","1","3"
"967450","20130122","79.70","75.60","1011.70","1011.20","4.30","1.10","5.10","86.40","76.30","3.07","0","1","0","0","0","0","1","3"
"967450","20130123","79.40","74.30","1010.90","1010.50","4.20","4.30","8.00","88.20","75.90","0.39","0","1","0","0","1","1","1","3"
"967450","20130124","80.60","75.50","1011.40","1010.90","4.30","3.40","12.00","86.40","76.30","0.10","0","1","0","0","0","0","1","3"
"967450","20130125","78.70","75.50","1011.80","1011.30","4.00","1.90","4.10","82.00","76.60","0.24","0","1","0","0","0","0","1","3"
"967450","20130126","81.90","75.20","1012.20","1011.70","4.30","4.20","7.00","88.20","75.90","0.00","0","0","0","0","0","0","1","3"
"967450","20130127","82.10","73.60","1011.60","1011.20","4.60","5.10","9.90","88.50","76.60","0.00","0","0","0","0","0","0","1","3"
"967450","20130128","81.30","74.90","1011.50","1011.10","4.40","2.40","6.00","86.00","77.70","0.04","0","1","0","0","1","1","1","3"
"967450","20130129","80.20","74.70","1012.30","1011.80","4.30","3.00","9.90","88.20","77.00","0.39","0","1","0","0","1","1","1","3"
"967450","20130130","81.10","74.80","1012.70","1012.30","4.40","1.70","5.10","86.70","75.60","0.00","0","0","0","0","0","0","0","0"
"967450","20130131","82.10","75.10","1012.40","1012.00","4.60","2.60","7.00","90.30","77.70","0.00","0","0","0","0","0","0","0","0"
"967450","20130201","84.90","75.30","1011.10","1010.70","4.70","1.90","7.00","92.50","77.70","0.00","0","0","0","0","0","0","0","0"
"967450","20130202","80.20","75.20","1010.20","1009.90","4.30","1.50","5.10","86.40","77.00","0.12","0","1","0","0","0","0","0","0"
"967450","20130203","83.90","74.30","1010.20","1009.80","4.60","2.30","8.90","91.40","77.00","0.00","0","0","0","0","0","0","0","0"
"967450","20130204","83.10","75.70","1011.10","1010.60","4.30","1.60","4.10","90.70","75.20","1.26","0","1","0","0","0","0","0","0"
"967450","20130205","83.60","74.80","1011.80","1011.40","4.40","2.90","7.00","92.10","73.80","0.00","0","1","0","0","0","0","0","0"
"967450","20130206","82.30","74.50","1010.90","1010.40","4.00","3.30","8.00","91.40","73.00","1.44","0","1","0","0","1","1","0","0"
"967450","20130207","82.90","75.10","1009.60","1009.30","4.40","1.80","6.00","90.70","75.20","0.00","0","0","0","0","0","0","0","0"
"967450","20130208","84.40","75.10","1010.10","1009.70","4.70","1.20","4.10","93.20","75.20","0.00","0","0","0","0","0","0","0","0"
"967450","20130209","83.30","74.60","1010.60","1010.10","4.60","4.50","14.00","93.20","76.60","0.00","0","1","0","0","1","1","0","0"
"967450","20130210","82.70","74.50","1009.30","1008.90","4.30","2.50","8.00","90.70","78.30","0.02","0","0","0","0","0","0","0","1"
"967450","20130211","83.40","75.40","1009.20","1008.70","4.40","2.00","7.00","89.20","77.70","0.00","0","0","0","0","0","0","0","2"
"967450","20130212","82.20","75.00","1009.40","1008.90","4.10","1.10","5.10","89.60","76.60","0.28","0","1","0","0","1","1","1","3"
"967450","20130213","82.30","75.00","1008.60","1008.20","4.70","1.00","5.10","91.00","75.20","0.16","0","1","0","0","0","0","1","3"
